"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"6","47.6390108333333","-122.413489166667","122.413489166667","46.7242764474061","46.6996115327469","12.1636534266455","0.557437139529988","0.557437139529988","13","16810","","Fourmile Rock Light 1","FD","47-38-20.439N","122-24-48.561W","Fl G 6s","Night","15","6","","SG on skeleton tower on rock.","",""
"6","47.8148844444444","-122.48187","122.48187","46.8243533760354","46.8004113030013","12.3460895257362","0.646739574767306","0.646739574767306","13","16675","","Apple Cove Point Light","FD","47-48-53.584N","122-28-54.732W","Fl W 4s","Night","18","6","","NB on multi-pile structure.","",""
"6","47.9520577777778","-122.671028333333","122.671028333333","47.0361087388846","47.0126101195837","12.5051471637373","0.699444607994518","0.699444607994518","13","16515","17700","Colvos Rocks Light","FD","47-57-07.408N","122-40-15.702W","Fl W 4s","Night","34","6","","NB on skeleton tower.","",""
"6","47.9645366666667","-122.579595833333","122.579595833333","46.9487472554825","46.9253834627024","12.5061757645385","0.737752959092318","0.737752959092318","13","16530","","Puget Sound Traffic Separation Lane Lighted Buoy SD","FD","47-57-52.332N","122-34-46.545W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","47.9675030555556","-122.546271388889","122.546271388889","46.9166080879327","46.8932865586841","12.5051491700528","0.752579978769732","0.752579978769732","13","16520","","Double Bluff Light","FD","47-58-03.011N","122-32-46.577W","Fl W 4s","Night","60","6","","NG on skeleton tower.","",""
"6","48.0969675","-122.491499444444","122.491499444444","46.887864569263","46.865164688239","12.6274479834434","0.89314808990186","0.89314808990186","13","18620","","East Point Light 3 ","FD","48-05-49.083N","122-29-29.398W","Fl G 6s","Night","21","6","","SG on skeleton tower.","",""
"6","48.2059275","-123.1096225","123.1096225","47.5153772900113","47.4926115252218","12.8193237116578","0.974565712914473","0.974565712914473","13","16345","","Puget Sound Traffic Separation Lane Entrance Lighted Buoy S","FD","48-12-21.339N","123-06-34.641W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","48.2737061111111","-123.109623055556","123.109623055556","47.5285902740079","47.5061207051851","12.8862455855839","1.0397282687515","1.0397282687515","13","16340","","Rosario Strait Traffic Separation Lane Entrance Lighted Buoy R","FD","48-16-25.342N","123-06-34.643W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","48.3292638888889","-122.977398333333","122.977398333333","47.4098565603349","47.3877472412867","12.9209525547334","1.06757582567834","1.06757582567834","13","16370","","Rosario Strait Traffic Separation Lane Lighted Buoy RA","FD","48-19-45.350N","122-58-38.634W","Fl Y 2.5s","Night","","6","","Yellow.","","N ( - . )"
"5","47.1730905555556","-122.837492777778","122.837492777778","47.0576028309127","47.0305238013337","11.7568309082318","0.0985729359781827","0.0985729359781827","13","17390","","Itsami Ledge Light 7 ","FD","47-10-23.126N","122-50-14.974W","Fl G 4s","Night","20","5","","SG on multi-pile structure.","",""
"5","47.1902822222222","-122.698921111111","122.698921111111","46.9241622425867","46.8972695103953","11.7538525919617","0.15649280153468","0.15649280153468","13","17270","","Eagle Island Light 1 ","FD","47-11-25.016N","122-41-56.116W","Fl G 4s","Night","18","5","","SG on multi-pile structure.","",""
"5","47.1233286111111","-122.7","122.7","46.913550679589","46.88636027043","11.6876969924017","0.19891465219099","0.19891465219099","13","17355","","Lyle Point Light 2 ","FD","47-07-23.983N","122-42-00.000W","Fl R 4s","Night","15","5","","TR on multi-pile structure.","",""
"5","47.2184666666667","-122.60175","122.60175","46.8334466696422","46.8067568510873","11.7687453631881","0.236932900607845","0.236932900607845","13","17250","","Gibson Point Light 6 ","FD","47-13-06.480N","122-36-06.300W","Fl R 4s","Night","22","5","","TR on pile.","Light visible from 222?? to 055??.",""
"5","47.5655519444444","-122.613716944444","122.613716944444","46.9075404577881","46.8823806323711","12.1144883095303","0.36657411644124","0.36657411644124","13","18085","","Point Herron Light 12 ","FD","47-33-55.987N","122-36-49.381W","Fl R 6s","Night","24","5","","TR on multi-pile structure.","",""
"5","47.3248208333333","-122.456514166667","122.456514166667","46.7093769658019","46.6832779327046","11.8563750796203","0.379900980051458","0.379900980051458","13","17085","","Puget Sound Traffic Separation Lane Lighted Buoy TC","FD","47-19-29.355N","122-27-23.451W","Fl Y 2.5s","Night","","5","","Yellow.","",""
"5","47.5844725","-122.570349166667","122.570349166667","46.8683780996061","46.8433384784968","12.1278226037186","0.408327219473487","0.408327219473487","13","18080","","Waterman Point Light 11 ","FD","47-35-04.101N","122-34-13.257W","Fl G 4s","Night","26","5","","SG on skeleton tower, on caisson.","HORN: 1 blast ev 15s (2s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 15 minutes.",""
"5","47.69148","-122.833085","122.833085","47.1463327614319","47.1215458086596","12.2689584674171","0.419935214052115","0.419935214052115","13","17865","","Tskutsko Point Light","FD","47-41-29.328N","122-49-59.106W","Fl W 4s","Night","15","5","","NB on pile.","",""
"5","47.6930586111111","-122.770772222222","122.770772222222","47.0853875609819","47.0606599594559","12.2617347330606","0.426032798228903","0.426032798228903","13","17840","","Hazel Point Light","FD","47-41-35.011N","122-46-14.780W","Fl W 4s","Night","15","5","","NB on pile.","",""
"5","47.6902433333333","-122.747335","122.747335","47.0618343086671","47.0371140146282","12.2557215943162","0.427304131283683","0.427304131283683","13","17845","","Hood Canal Light 11 ","FD","47-41-24.876N","122-44-50.406W","Fl G 4s","Night","15","5","","SG on multi-pile structure.","",""
"5","47.4478763888889","-122.404570833333","122.404570833333","46.6804467335406","46.6549385499265","11.9727071615973","0.462983746479479","0.462983746479479","13","16975","","Puget Sound Traffic Separation Lane Lighted Buoy TA","FD","47-26-52.355N","122-24-16.455W","Fl Y 2.5s","Night","","5","","Yellow.","AIS: MMSI 993692021 (21).",""
