#TYPE System.Xml.XmlElement
"drange","dlat","dlon","D_to_Driftmier","D_to_Adrift_F35","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"4","38.9531561111111","76.5620955555556","0.0668520150206497","0.180217662869374","0.0668520150206497","5","19655","","South River Light 17","FD","38-57-11.362N","076-33-43.544W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","38.9091422222222","76.5046844444445","0.0671813389427179","0.148248883113354","0.0671813389427179","5","19585","","Selby Bay Entrance Light 2","FD","38-54-32.912N","076-30-16.864W","Fl R 2.5s","Night","15","4","","TR on multi-pile structure.","",""
"4","38.9087483333333","76.5097447222222","0.068163558729228","0.145957919311505","0.068163558729228","5","19595","","Selby Bay Light 4","FD","38-54-31.494N","076-30-35.081W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9126008333333","76.4665872222222","0.0714404932503656","0.169834732540086","0.0714404932503656","5","19680","","Fishing Creek Light 5","FD","38-54-45.363N","076-27-59.714W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.9533416666667","76.567575","0.0719640587893923","0.180452056894468","0.0719640587893923","5","19660","","South River Light 18","FD","38-57-12.030N","076-34-03.270W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9030966666667","76.5067088888889","0.0733855759276692","0.141896209035608","0.0733855759276692","5","19590","","Selby Bay South Basin Light 2","FD","38-54-11.148N","076-30-24.152W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9358452777778","76.4361227777778","0.074922177881928","0.206622750967691","0.074922177881928","5","19690","","Annapolis Harbor Channel Light 1AH","FD","38-56-09.043N","076-26-10.042W","Fl G 4s","Night","15","4","","SG on multi-pile structure.","",""
"4","38.90203","76.4771016666667","0.0773345130743412","0.155181457609393","0.0773345130743412","5","19570","","South River Light 4","FD","38-54-07.308N","076-28-37.566W","Fl R 2.5s","Night","15","4","","TR on multi-pile structure.","",""
"4","38.9113794444444","76.4549533333333","0.0784667678134323","0.175750143435934","0.0784667678134323","5","19670","","Fishing Creek Light 2F","FD","38-54-40.966N","076-27-17.832W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
"4","38.9416666666667","76.4247222222222","0.0821528728526155","0.218292433696281","0.0821528728526155","5","19695","","Annapolis Harbor Channel Lighted Buoy 2","FD","38-56-30.000N","076-25-29.000W","Fl R 2.5s","Night","","4","","Red.","Replaced by nun when endangered by ice.",""
"4","38.8548472222222","76.5317772222222","0.125532830599934","0.0877357051008532","0.0877357051008532","5","19500","","West River Light 4","FD","38-51-17.450N","076-31-54.398W","Fl R 4s","Night","15","4","","TR on pile.","Higher intensity beam up and down river.",""
"4","38.8471980555556","76.5062402777778","0.129096259114715","0.0936026083840758","0.0936026083840758","5","19480","","Parish Creek Light 3","FD","38-50-49.913N","076-30-22.465W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.8838322222222","76.4770336111111","0.0949258817029888","0.140449071455262","0.0949258817029888","5","19450","","Saunders Point Shoal Junction Light","FD","38-53-01.796N","076-28-37.321W","Fl (2+1)R 6s","Night","15","4","","JR on pile.","",""
"4","38.8833430555556","76.5227163888889","0.0956730599799762","0.117598905948895","0.0956730599799762","5","19545","","Rhode River Light 7","FD","38-53-00.035N","076-31-21.779W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.8518305555556","76.5065169444444","0.124486410891045","0.0971567527182571","0.0971567527182571","5","19475","","Parish Creek Light 1","FD","38-51-06.590N","076-30-23.461W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","38.8670430555556","76.5137347222222","0.110015095669604","0.106322595041232","0.106322595041232","5","19515","","Rhode River Entrance Light 2RR","FD","38-52-01.355N","076-30-49.445W","Fl R 4s","Night","15","4","","TR on multi-pile structure.","",""
"4","38.8702925","76.4814472222222","0.107312122812488","0.127141857402001","0.107312122812488","5","19465","","West River Lighted Buoy 1A","FD","38-52-13.053N","076-28-53.210W","Fl G 2.5s","Night","","4","","Green.","Replaced by can when endangered by ice.",""
"4","38.8640816666667","76.4498533333333","0.122456377975541","0.145464865632753","0.122456377975541","5","19460","","West River Lighted Buoy 1","FD","38-51-50.694N","076-26-59.472W","Fl G 4s","Night","","4","","Green.","Removed when endangered by ice.",""
"4","38.8988675","76.3141791666667","0.200595138313338","0.279073565280338","0.200595138313338","5","26265","","Cox Creek Light 2CC","FD","38-53-55.923N","076-18-51.045W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
